Company name,ASX code,GICS industry group
"3D GLOBAL LIMITED",TBL,"Software & Services"
"A.B.C. LEARNING CENTRES LIMITED",ABS,"Commercial Services & Supplies"
"A.G.D. MINING LIMITED",AGZ,"Materials"
"A.I. LIMITED",AIE,"Capital Goods"
"AAV LIMITED",AVV,"Media"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABB GRAIN LIMITED",ABB,"Food & Staples Retailing"
"ABBEY NATIONAL TREASURY SERVICES PLC",ATS,"GICS Sector Code Not Applicable"
"ABELLE LIMITED",ABX,"Materials"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABIGROUP LIMITED",ABG,"Capital Goods"
"ABSOLUTE RETURN FUND (THE)",AAB,"GICS Sector Code Not Applicable"
"ACCESS FUNDS - WHTM CAPITAL MANAGEMENT LTD",AXS,"GICS Sector Code Not Applicable"
"ACCLAIM EXPLORATION NL",AEX,"Materials"
"ACMA ENGINEERING & CONSTRUCTION GROUP LIMITED",ACX,"Capital Goods"
"ACUMEN CAPITAL PROPERTY SECURITIES FUND",ACF,"Real Estate"
"ADACEL TECHNOLOGIES LIMITED",ADA,"Software & Services"
"ADAMUS RESOURCES LIMITED",ADU,"Materials"
"ADCORP AUSTRALIA LIMITED",AAU,"Media"
"ADELAIDE BANK LIMITED",ADB,"Banks"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"ADELAIDE RESOURCES LIMITED",ADN,"Materials"
"ADEX HOLDINGS LIMITED",AXH,"Materials"
"ADMEREX LIMITED",ADL,"Software & Services"
"ADSTEAM MARINE LIMITED",ADZ,"Transportation"
"ADTRANS GROUP LIMITED",ADG,"Retailing"
"ADULTSHOP.COM LIMITED",ASC,"Retailing"
"ADV GROUP LIMITED",ADS,"Media"
"ADVANCED ENERGY SYSTEMS LIMITED",AES,"Utilities"
"ADVANCED ENGINE COMPONENTS LIMITED",ACE,"Automobile & Components"
"ADVANTAGE TELECOMMUNICATIONS LIMITED",ATC,"Telecommunication Services"
"ADVENT LIMITED",ADT,"Commercial Services & Supplies"
"AERIS TECHNOLOGIES LTD",AEI,"Capital Goods"
"AFMINEX LIMITED",AFM,"Materials"
"AFT CORPORATION LIMITED",AFT,"Health Care Equipment & Services"
"AGENIX LIMITED",AGX,"Pharmaceuticals & Biotechnology"
"AGRO HOLDINGS LIMITED",AHH,"Retailing"
"AGT BIOSCIENCES LTD",AGT,"Pharmaceuticals & Biotechnology"
"AHC LIMITED",AHC,"Real Estate"
"AIM RESOURCES LIMITED",AIM,"Materials"
"AINSWORTH GAME TECHNOLOGY LIMITED",AGI,"Hotels Restaurants & Leisure"
"AIR NEW ZEALAND LIMITED",AIZ,"Transportation"
"AIRCRUISING AUSTRALIA LIMITED",AIG,"Hotels Restaurants & Leisure"
"AIS CORPORATION LIMITED",AIS,"Automobile & Components"
"AJ LUCAS GROUP LIMITED",AJL,"Capital Goods"
"AKD LIMITED",AKD,"Materials"
"ALAMAIN INVESTMENTS LIMITED",AMV,"Commercial Services & Supplies"
