ASX listed companies as at Mon May 01 00:14:36 EST 2006

Company name,ASX code,GICS industry group
"1300 SMILES LIMITED",ONT,"Health Care Equipment & Services"
"3Q HOLDINGS LIMITED",TQH,"Software & Services"
"A.B.C. LEARNING CENTRES LIMITED",ABS,"Consumer Services"
"A.G.D. MINING LIMITED",AGZ,"Materials"
"A.I. LIMITED",AIE,"Capital Goods"
"A1 MINERALS LIMITED",AAM,"Materials"
"AAV LIMITED",AVV,"Media"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABB GRAIN LIMITED",ABB,"Food & Staples Retailing"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABN AMRO BANK N.V.",ABO,"GICS Sector Code Not Applicable"
"ABN AMRO BANK N.V..",ABZ,"Classification Pending"
"ABRA MINING LIMITED",AII,"Materials"
"ACCENT RESOURCES NL",ACS,"Materials"
"ACCESS PROVIDERS LTD",APV,"Telecommunication Services"
"ACCLAIM EXPLORATION NL",AEX,"Materials"
"ACMA ENGINEERING & CONSTRUCTION GROUP LIMITED",ACX,"Capital Goods"
"ACONCAGUA RESOURCES LIMITED",ANU,"Materials"
"ACRUX LIMITED",ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED",AIV,"Materials"
"ACURON LIMITED",AVP,"Health Care Equipment & Services"
"ADACEL TECHNOLOGIES LIMITED",ADA,"Software & Services"
"ADAMUS RESOURCES LIMITED",ADU,"Materials"
"ADCORP AUSTRALIA LIMITED",AAU,"Media"
"ADELAIDE BANK LIMITED",ADB,"Banks"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"ADELAIDE RESOURCES LIMITED",ADN,"Materials"
"ADELPHI ENERGY LIMITED",ADI,"Energy"
"ADITYA BIRLA MINERALS LIMITED",ABY,"Classification Pending"
"ADMEREX LIMITED",ADL,"Software & Services"
"ADMIRALTY RESOURCES NL.",ADY,"Materials"
"ADSTEAM MARINE LIMITED",ADZ,"Transportation"
"ADTRANS GROUP LIMITED",ADG,"Retailing"
"ADULTSHOP.COM LIMITED",ASC,"Retailing"
"ADV GROUP LIMITED",ADS,"Media"
"ADVANCE HEALTHCARE GROUP LTD",AHG,"Health Care Equipment & Services"
"ADVANCED ENERGY SYSTEMS LIMITED",AES,"Utilities"
"ADVANCED ENGINE COMPONENTS LIMITED",ACE,"Automobile & Components"
"ADVANCED MAGNESIUM LIMITED",ANM,"Materials"
"ADVANCED NANOTECHNOLOGY LIMITED",ANO,"Materials"
"ADVANCED OCULAR SYSTEMS LIMITED",AOS,"Pharmaceuticals, Biotechnology & Life Sciences"
"ADVENT LIMITED",ADT,"Commercial Services & Supplies"
"AED OIL LIMITED",AED,"Energy"
"AEQUS CAPITAL LIMITED",AQE,"Diversified Financials"
"AERIS TECHNOLOGIES LTD",AEI,"Capital Goods"
"AEVUM LIMITED",AVE,"Health Care Equipment & Services"
"AFFIANCE GROUP LIMITED",AFS,"Banks"
"AFT CORPORATION LIMITED",AFT,"Capital Goods"
"AGENIX LIMITED",AGX,"Pharmaceuticals, Biotechnology & Life Sciences"
"AGINCOURT RESOURCES LIMITED",AGC,"Materials"
"AHC LIMITED",AHC,"Real Estate"
"AIM RESOURCES LIMITED",AIM,"Materials"
"AINSWORTH GAME TECHNOLOGY LIMITED",AGI,"Consumer Services"
"AIR NEW ZEALAND LIMITED",AIZ,"Transportation"
"AIRCRUISING AUSTRALIA LIMITED",AIG,"Consumer Services"
"AJ LUCAS GROUP LIMITED",AJL,"Capital Goods"
"AKD LIMITED",AKD,"Materials"
"ALBIDON LIMITED",ALB,"Materials"
"ALCASTON MINING NL",AMG,"Materials"
"ALCHEMIA LIMITED",ACL,"Pharmaceuticals, Biotechnology & Life Sciences"
"ALCOA INC.",AAI,"Materials"
"ALE PROPERTY GROUP",LEP,"Real Estate"
"ALESCO CORPORATION LIMITED",ALS,"Capital Goods"
"ALEXANDER RESOURCES LIMITED",AXD,"Materials"
"ALEXANDERS SECURITIES LIMITED",ALE,"Diversified Financials"
"ALINTA INFRASTRUCTURE HOLDINGS",AIH,"Utilities"
"ALINTA LIMITED",ALN,"Utilities"
"ALKANE EXPLORATION LIMITED",ALK,"Materials"
"ALLCO EQUITY PARTNERS LIMITED",AEQ,"Diversified Financials"
"ALLCO HYBRID INVESTMENT TRUST",AHU,"Diversified Financials"
"ALLCO MAX SECURITIES AND MORTGAGE TRUST",AXQ,"Diversified Financials"
"ALLEGIANCE MINING NL",AGM,"Materials"
"ALLIANCE RESOURCES LIMITED",AGS,"Materials"
"ALLIED BRANDS LIMITED",ABQ,"Consumer Services"
"ALLIED GOLD LIMITED",ALD,"Materials"
"ALLIED TECHNOLOGIES GROUP LIMITED",ATZ,"Software & Services"
"ALLOY RESOURCES LIMITED",AYR,"Materials"
"ALLSTATE EXPLORATIONS NL",ALX,"Materials"
"ALPHA FINANCIAL PRODUCTS LIMITED",AFP,"GICS Sector Code Not Applicable"
"ALPHA TECHNOLOGIES CORPORATION LIMITED",ASU,"Technology Hardware & Equipment"
"ALTERA CAPITAL LIMITED",AEA,"Retailing"
"ALTIUM LIMITED",ALU,"Software & Services"
"ALTO ENERGY INTERNATIONAL LIMITED",AOI,"Materials"
"ALTRIA GROUP, INC",AXG,"Food Beverage & Tobacco"
"ALUMINA LIMITED",AWC,"Materials"
"AMADEUS ENERGY LIMITED",AMU,"Energy"
"AMALGAMATED HOLDINGS LIMITED",AHD,"Media"
"AMAZING LOANS LIMITED",AZD,"Diversified Financials"
"AMBERTECH LIMITED",AMO,"Technology Hardware & Equipment"
"AMBITION GROUP LIMITED",AMB,"Commercial Services & Supplies"
"AMBRI LIMITED",ABI,"Pharmaceuticals, Biotechnology & Life Sciences"
"AMCIL LIMITED",AMH,"Diversified Financials"
"AMCOM TELECOMMUNICATIONS LIMITED",AMM,"Telecommunication Services"
"AMCOR INVESTMENTS (NEW ZEALAND) LIMITED",AMZ,"GICS Sector Code Not Applicable"
"AMCOR LIMITED",AMC,"Materials"
"AMEROD RESOURCES LIMITED",ARZ,"Materials"
"AMMTEC LIMITED",AEC,"Materials"
"AMP LIMITED",AMP,"Insurance"
"AMRITES LIMITED",AMA,"Classification Pending"
"ANADIS LIMITED",ANX,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANALYTICA LIMITED",ALT,"Health Care Equipment & Services"
"ANDEAN RESOURCES LIMITED",AND,"Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)",ATM,"Materials"
"ANGLO AUSTRALIAN RESOURCES NL",AAR,"Materials"
"ANGLO PACIFIC GROUP PLC",AGP,"Energy"
"ANGLOGOLD ASHANTI LIMITED",AGG,"Materials"
"ANGUS & COOTE (HOLDINGS) LIMITED",ANC,"Retailing"
"ANSEARCH LIMITED",ANH,"Software & Services"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"ANTAEUS ENERGY LIMITED",AEL,"Energy"
"ANTARES ENERGY LIMITED",AZZ,"Energy"
"ANTISENSE THERAPEUTICS LIMITED",ANP,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANVIL MINING LIMITED",AVM,"Materials"
"ANZON AUSTRALIA LIMITED",AZA,"Energy"
"AP EAGERS LIMITED",APE,"Retailing"
"APEX MINERALS NL",AXM,"Materials"
"API FUND",APR,"Diversified Financials"
"APN NEWS & MEDIA LIMITED",APN,"Media"
"APN PROPERTY GROUP LIMITED",APD,"Diversified Financials"
"APN/UKA EUROPEAN RETAIL TRUST",AEZ,"Real Estate"
"APOLLO LIFE SCIENCES LIMITED",AOP,"Pharmaceuticals, Biotechnology & Life Sciences"
"APOLLO SERIES 2005-1E TRUST",AOZ,"GICS Sector Code Not Applicable"
"APOLLO SERIES 2005-2 TRUST",APO,"GICS Sector Code Not Applicable"
"AQUACAROTENE LIMITED",AQL,"Health Care Equipment & Services"
"AQUARIUS PLATINUM LIMITED",AQP,"Materials"
"AQUILA RESOURCES LIMITED",AQA,"Materials"
"ARAFURA RESOURCES NL",ARU,"Materials"
"ARB CORPORATION LIMITED",ARP,"Retailing"
"ARC ENERGY LIMITED",ARQ,"Energy"
"ARGO INVESTMENTS LIMITED",ARG,"Diversified Financials"
"ARGONAUT RESOURCES NL",ARE,"Materials"
"ARGOSY MINERALS INC",AGY,"Materials"
"ARGUS SOLUTIONS LIMITED",ASV,"Technology Hardware & Equipment"
"ARIADNE AUSTRALIA LIMITED",ARA,"Real Estate"
"ARISTOCRAT LEISURE LIMITED",ALL,"Consumer Services"
"ARMS II FUND XV",AXV,"GICS Sector Code Not Applicable"
"ARMSTRONG JONES OFFICE FUND",AJO,"Real Estate"
"ARROW ENERGY NL",AOE,"Energy"
"ARTIST & ENTERTAINMENT GROUP LIMITED",AEM,"Commercial Services & Supplies"
"ASF GROUP LIMITED",AFA,"Automobile & Components"
"ASG GROUP LIMITED",ASZ,"Software & Services"
"ASHBURTON MINERALS LIMITED",ATN,"Materials"
"ASIAN DEVELOPMENT BANK",ATB,"GICS Sector Code Not Applicable"
"ASIF I",ASI,"GICS Sector Code Not Applicable"
"ASPEN GROUP",APZ,"Real Estate"
"ASPERMONT LIMITED.",ASP,"Media"
"ASSET LOANS LTD",ASQ,"Diversified Financials"
"ASTRO DIAMOND MINES N.L.",ARO,"Materials"
"ASTRON LIMITED",ATR,"Materials"
"ATCOR MEDICAL HOLDINGS LIMITED",ACG,"Health Care Equipment & Services"
"ATECH HOLDINGS LIMITED",ATH,"Consumer Services"
"ATLANTIC GOLD NL",ATV,"Materials"
"ATLANTIC LIMITED",ATI,"Food Beverage & Tobacco"
"ATLAS GROUP HOLDINGS LIMITED",AHS,"Capital Goods"
"ATLAS IRON LIMITED",AGO,"Materials"
"ATLAS PACIFIC LIMITED",ATP,"Consumer Durables & Apparel"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED",AIA,"Transportation"
"AUDAX RESOURCES LIMITED",ADX,"Materials"
"AURORA BUY-WRITE INCOME TRUST",ABW,"Classification Pending"
"AURORA MINERALS LIMITED",ARM,"Materials"
"AURORA OIL & GAS LIMITED",AUT,"Energy"
"AURORA SANDRINGHAM DIVIDEND INCOME TRUST",AOD,"Diversified Financials"
"AUROX RESOURCES LIMITED",AXO,"Materials"
"AUSDRILL LIMITED",ASL,"Materials"
"AUSELECT LIMITED",AUS,"Materials"
"AUSMELT LIMITED",AET,"Capital Goods"
"AUSPINE LIMITED",ANE,"Materials"
"AUSQUEST LIMITED",AQD,"Materials"
"AUSRON LIMITED",AUX,"Food Beverage & Tobacco"
"AUSTAL LIMITED",ASB,"Capital Goods"
"AUSTAR UNITED COMMUNICATIONS LIMITED",AUN,"Media"
"AUSTBROKERS HOLDINGS LIMITED",AUB,"Insurance"
"AUSTCORP TOWERS TRUST",AUU,"Real Estate"
"AUSTEREO GROUP LIMITED",AEO,"Media"
"AUSTIN ENGINEERING LIMITED",ANG,"Capital Goods"
"AUSTIN GROUP LIMITED",ATG,"Retailing"
"AUSTINDO RESOURCES CORPORATION NL",ARX,"Materials"
"AUSTPAC RESOURCES NL",APG,"Materials"
"AUSTRAL COAL LIMITED",AUO,"Materials"
"AUSTRAL WASTE GROUP LIMITED",AWG,"Commercial Services & Supplies"
"AUSTRALAND ASSETS TRUST",AAZ,"Real Estate"
"AUSTRALAND PROPERTY GROUP",ALZ,"Real Estate"
"AUSTRALASIA GOLD LIMITED",AAO,"Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIA ORIENTAL MINERALS NL",AOM,"Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food Beverage & Tobacco"
"AUSTRALIAN BIODIESEL GROUP LIMITED",ABJ,"Energy"
"AUSTRALIAN CENTRAL CREDIT UNION LIMITED",ACD,"GICS Sector Code Not Applicable"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS",XCL,"GICS Sector Code Not Applicable"
"AUSTRALIAN EDUCATION TRUST",AEU,"Real Estate"
"AUSTRALIAN ETHANOL LIMITED",AAE,"Energy"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED",AEF,"Diversified Financials"
"AUSTRALIAN FOOD & FIBRE LIMITED",AFF,"Food Beverage & Tobacco"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED",AFI,"Diversified Financials"
"AUSTRALIAN GAS LIGHT COMPANY (THE)",AGL,"Utilities"
"AUSTRALIAN HEALTHCARE TECHNOLOGY LTD",AUH,"Health Care Equipment & Services"
"AUSTRALIAN HOTEL FUND",AHO,"Real Estate"
"AUSTRALIAN INFRASTRUCTURE FUND",AIX,"Transportation"
"AUSTRALIAN INSTITUTE OF PROPERTY MANAGEMENT LIMITED",APM,"Diversified Financials"
"AUSTRALIAN MINES LIMITED",AUZ,"Materials"
"AUSTRALIAN MINING INVESTMENTS LIMITED",AUM,"Materials"
"AUSTRALIAN OIL COMPANY LIMITED",AOC,"Energy"
"AUSTRALIAN ONSHORE ENERGY FUND",AEY,"Energy"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED",API,"Health Care Equipment & Services"
"AUSTRALIAN PIPELINE TRUST",APA,"Utilities"
"AUSTRALIAN RENEWABLE FUELS LIMITED",ARW,"Energy"
"AUSTRALIAN RURAL GROUP LIMITED",ASR,"Diversified Financials"
"AUSTRALIAN STOCK EXCHANGE LIMITED",ASX,"Diversified Financials"
"AUSTRALIAN UNITED GOLD LIMITED",AUL,"Materials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED",AUI,"Diversified Financials"
"AUSTRALIAN WATERWISE SOLUTIONS LTD",AWS,"Capital Goods"
"AUSTRALIAN WEALTH MANAGEMENT LIMITED",AUW,"Diversified Financials"
"AUSTRALIAN WINE HOLDINGS LIMITED",AWL,"Food Beverage & Tobacco"
"AUSTRALIAN WORLDWIDE EXPLORATION LIMITED",AWE,"Energy"
"AUSTRALIAN ZIRCON NL",AZC,"Materials"
"AUSTRALIS AQUACULTURE LIMITED",AAQ,"Food Beverage & Tobacco"
"AUSTRALIS MINING CORPORATION LIMITED",AUV,"Materials"
"AUTHORISED INVESTMENT FUND LIMITED",AIY,"GICS Sector Code Not Applicable"
"AUTO GROUP LIMITED",ALO,"Retailing"
"AUTOMOTIVE HOLDINGS GROUP LIMITED",AHE,"Retailing"
"AUTRON CORPORATION LIMITED",AAT,"Technology Hardware & Equipment"
"AUZEX RESOURCES LIMITED",AZX,"Materials"
"AVANTOGEN LIMITED",ACU,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVASTRA LTD",AVS,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVATAR INDUSTRIES LIMITED",AVR,"Consumer Durables & Apparel"
"AVEXA LIMITED",AVX,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVFM LTD",AVU,"Diversified Financials"
"AVIVA CORPORATION LIMITED",AVA,"Materials"
"AVJENNINGS LIMITED",AVJ,"Real Estate"
"AVOCA RESOURCES LIMITED",AVO,"Materials"
"AVT PLASMA LIMITED",AVT,"Pharmaceuticals, Biotechnology & Life Sciences"
"AWB LIMITED",AWB,"Food & Staples Retailing"
"AXA ASIA PACIFIC HOLDINGS LIMITED",AXA,"Insurance"
"AXG MINING LIMITED",AXC,"Materials"
"AXIOM ENERGY LIMITED",AXE,"Classification Pending"
"AXIOM PROPERTIES LIMITED",AXI,"Real Estate"
"AZTEC RESOURCES LIMITED",AZR,"Materials"
"AZUMAH RESOURCES LIMITED",AZM,"Materials"
"AZURN INTERNATIONAL LIMITED",AZU,"Classification Pending"
"B DIGITAL LIMITED",BBB,"Telecommunication Services"
"BABCOCK & BROWN CAPITAL LIMITED",BCM,"Diversified Financials"
"BABCOCK & BROWN ENVIRONMENTAL INVESTMENTS LIMITED",BEI,"Energy"
"BABCOCK & BROWN INFRASTRUCTURE GROUP",BBI,"Utilities"
"BABCOCK & BROWN JAPAN PROPERTY TRUST",BJT,"Real Estate"
"BABCOCK & BROWN LIMITED",BNB,"Diversified Financials"
"BABCOCK & BROWN WIND PARTNERS GROUP",BBW,"Utilities"
"BAKEHOUSE QUARTER FUND",BQF,"GICS Sector Code Not Applicable"
"BALLARAT GOLDFIELDS NL",BGF,"Materials"
"BANK NEDERLANDSE GEMEENTEN",BNG,"GICS Sector Code Not Applicable"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BANNERMAN RESOURCES LIMITED",BMN,"Materials"
"BARAKA PETROLEUM LIMITED",BKP,"Energy"
"BARRA RESOURCES LIMITED",BAR,"Materials"
"BARRANCO RESOURCES NL",BNR,"Classification Pending"
"BASS METALS LTD",BSM,"Materials"
"BASS STRAIT OIL COMPANY LIMITED",BAS,"Energy"
"BASS STRAIT OIL TRUST",BSO,"Energy"
"BATAVIA MINING LIMITED",BTV,"Materials"
"BAXTER GROUP LIMITED",BAX,"Commercial Services & Supplies"
"BAYCORP ADVANTAGE LIMITED",BCA,"Software & Services"
"BAYERISCHE HYPO-UND VEREINSBANK",BHV,"GICS Sector Code Not Applicable"
"BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT",BMW,"GICS Sector Code Not Applicable"
