Date,Open,High,Low,Close,Volume
16-Jul-02,917.93,918.65,897.13,900.94,16990000
15-Jul-02,921.39,921.39,876.46,917.93,25748000
12-Jul-02,927.37,934.31,913.71,921.39,16074000
11-Jul-02,920.47,929.16,900.94,927.37,20804800
10-Jul-02,952.83,956.34,920.29,920.47,18169000
9-Jul-02,976.98,979.63,951.71,952.83,13489000
8-Jul-02,989.03,993.56,972.91,976.98,11844000
5-Jul-02,953.99,989.07,953.99,989.03,6994000
3-Jul-02,948.09,954.30,934.87,953.99,15278000
2-Jul-02,968.65,968.65,945.54,948.09,18230000
1-Jul-02,989.82,994.46,967.43,968.65,14255000
28-Jun-02,990.64,1001.79,988.31,989.82,21170000
26-Jun-02,976.14,977.43,952.92,973.53,20142900
25-Jun-02,992.72,1005.88,974.21,976.14,15137000
24-Jun-02,989.14,1002.11,970.85,992.72,15526000
21-Jun-02,1006.29,1006.29,985.65,989.14,14972000
20-Jun-02,1019.99,1023.33,1004.59,1006.29,13897000
19-Jun-02,1037.14,1037.61,1017.88,1019.99,13361000
18-Jun-02,1036.17,1040.83,1030.92,1037.14,11931000
17-Jun-02,1007.27,1036.17,1007.27,1036.17,12366000
14-Jun-02,1009.56,1009.56,981.63,1007.27,15490000
13-Jun-02,1020.26,1023.47,1008.12,1009.56,14055000
12-Jun-02,1013.26,1021.85,1002.58,1020.26,17957200
11-Jun-02,1030.74,1039.04,1012.94,1013.60,12124000
10-Jun-02,1027.53,1038.18,1025.45,1030.74,12262000
7-Jun-02,1029.15,1033.02,1012.49,1027.53,13413000
6-Jun-02,1049.90,1049.90,1026.91,1029.15,16015000
5-Jun-02,1040.69,1050.11,1038.84,1049.90,13001000
4-Jun-02,1040.68,1046.06,1030.52,1040.69,14666000
3-Jun-02,1067.14,1070.74,1039.90,1040.68,13243000
31-May-02,1064.66,1079.93,1064.66,1067.14,12773000
30-May-02,1067.66,1069.50,1054.26,1060.11,12866000
29-May-02,1074.55,1074.83,1067.66,1067.66,10818000
28-May-02,1083.82,1085.98,1070.31,1074.55,9965000
24-May-02,1097.08,1097.08,1082.19,1083.82,8854000
23-May-02,1086.02,1097.10,1080.55,1097.08,11929000
22-May-02,1079.88,1086.02,1075.64,1086.02,11363000
21-May-02,1091.88,1099.55,1079.08,1079.88,12005000
20-May-02,1106.59,1106.59,1090.61,1091.88,9898000
17-May-02,1098.23,1106.59,1096.77,1106.59,12744000
16-May-02,1091.07,1099.29,1089.17,1098.23,12566000
15-May-02,1097.28,1104.23,1088.94,1091.07,14202000
14-May-02,1074.56,1097.71,1074.56,1097.28,14145000
13-May-02,1054.99,1074.84,1053.90,1074.56,10886000
10-May-02,1073.01,1075.43,1053.93,1054.99,11719000
9-May-02,1088.85,1088.85,1072.23,1073.01,11530000
8-May-02,1049.49,1088.92,1049.49,1088.85,15020000
7-May-02,1052.67,1058.67,1048.96,1049.49,13547000
6-May-02,1073.43,1075.96,1052.65,1052.67,11226000
3-May-02,1084.56,1084.56,1068.89,1073.43,12845000
2-May-02,1086.46,1091.42,1079.46,1084.56,13640000
1-May-02,1076.92,1088.32,1065.29,1086.46,14514000
30-Apr-02,1065.45,1082.62,1063.46,1076.92,16286000
29-Apr-02,1076.32,1078.95,1063.62,1065.45,13147000
26-Apr-02,1091.48,1096.77,1076.31,1076.32,13742000
25-Apr-02,1093.14,1094.36,1084.81,1091.48,15174000
24-Apr-02,1100.96,1108.46,1092.51,1093.14,13732000
23-Apr-02,1107.83,1111.17,1098.94,1100.96,13885000
22-Apr-02,1125.17,1125.17,1105.62,1107.83,11818000
19-Apr-02,1124.47,1128.82,1122.59,1125.17,11850000
18-Apr-02,1126.07,1130.49,1109.29,1124.47,13593000
17-Apr-02,1128.37,1133.00,1123.37,1126.07,13769000
16-Apr-02,1102.55,1129.40,1102.55,1128.37,13413000
15-Apr-02,1111.01,1114.86,1099.41,1102.55,11204000
12-Apr-02,1103.69,1112.77,1102.74,1111.01,12821000
11-Apr-02,1130.47,1130.47,1102.42,1103.69,15056000
10-Apr-02,1117.80,1131.76,1117.80,1130.47,14479000
9-Apr-02,1125.29,1128.29,1116.73,1117.80,12354000
8-Apr-02,1122.73,1125.41,1111.79,1125.29,10953000
5-Apr-02,1126.34,1133.31,1119.49,1122.73,11102000
4-Apr-02,1125.40,1130.45,1120.06,1126.34,12838000
3-Apr-02,1136.76,1138.85,1119.68,1125.40,12197000
2-Apr-02,1146.54,1146.54,1135.71,1136.76,11767000
1-Apr-02,1147.39,1147.84,1132.87,1146.54,10509000
28-Mar-02,1144.58,1154.45,1144.58,1147.39,11476000
27-Mar-02,1138.49,1146.95,1135.33,1144.58,11801000
26-Mar-02,1131.87,1147.00,1131.61,1138.49,12236000
25-Mar-02,1148.70,1151.04,1131.87,1131.87,10579000
22-Mar-02,1153.59,1156.49,1144.60,1148.70,12433000
21-Mar-02,1151.85,1155.10,1139.48,1153.59,13392000
20-Mar-02,1170.29,1170.29,1151.61,1151.85,13049000
19-Mar-02,1165.55,1173.94,1165.55,1170.29,12550000
18-Mar-02,1166.16,1172.73,1159.14,1165.55,11695000
15-Mar-02,1153.04,1166.48,1153.04,1166.16,14939000
14-Mar-02,1154.09,1157.83,1151.08,1153.04,12088000
13-Mar-02,1165.58,1165.58,1151.01,1154.09,13540000
12-Mar-02,1168.26,1168.26,1154.34,1165.58,13044000
11-Mar-02,1164.31,1173.03,1159.58,1168.26,12102000
8-Mar-02,1157.54,1172.76,1157.54,1164.31,14120000
7-Mar-02,1162.77,1167.94,1150.69,1157.54,15174000
6-Mar-02,1146.14,1165.29,1145.11,1162.77,15413000
5-Mar-02,1153.84,1157.74,1144.78,1146.14,15493000
4-Mar-02,1131.78,1153.84,1130.93,1153.84,15943000
1-Mar-02,1106.73,1131.79,1106.73,1131.78,14565000
28-Feb-02,1109.89,1121.57,1106.73,1106.73,13922000
27-Feb-02,1109.38,1123.06,1102.26,1109.89,13938000
26-Feb-02,1109.43,1115.05,1101.72,1109.38,13092000
25-Feb-02,1089.84,1112.71,1089.84,1109.43,13674000
22-Feb-02,1080.95,1093.93,1074.39,1089.84,14110000
21-Feb-02,1097.98,1101.50,1080.24,1080.95,13816000
20-Feb-02,1083.34,1098.32,1074.36,1097.98,14389000
19-Feb-02,1104.18,1104.18,1082.24,1083.34,11899000
15-Feb-02,1116.48,1117.09,1103.23,1104.18,13592000
14-Feb-02,1118.51,1124.72,1112.30,1116.48,12725000
13-Feb-02,1107.50,1120.56,1107.50,1118.51,12159000
12-Feb-02,1111.94,1112.68,1102.98,1107.50,10942000
