BKL|BLACKMORES LIMITED
CDF|COMMONWEALTH DIVERSIFIED SHARE FUND
CDK|CDK TECTONICS LIMITED
CMU|CMI LIMITED
EAC|EAST AFRICAN COFFEE PLANTATIONS LIMITED
FBG|FOSTER'S BREWING GROUP LIMITED
GZL|GAZAL CORPORATION LIMITED
HIL|HILLS INDUSTRIES LIMITED
HVN|HARVEY NORMAN HOLDINGS LIMITED
IGP|INVESTOR GROUP LIMITED
MRL|MILLER'S RETAIL LIMITED
ORL|OROTON INTERNATIONAL LIMITED
PLF|PRIMELIFE CORPORATION LIMITED
SAQ|SYDNEY AQUARIUM LIMITED
SBC|SOUTHERN CROSS BROADCASTING (AUSTRALIA) LIMITED
WOW|WOOLWORTHS LIMITED
