ASX Warrants Market as at 02/09/2004 17:01:31
CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
ADBIMR,Instalment High Geared,5.25,23/06/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
AGLEME,Endowment,1.796,30/06/2006,1.0,European,MACQUARIE,COR,19/12/1996,5,
AGLEMG,Endowment,5.402,16/02/2009,1.0,European,MACQUARIE,COR,17/08/1998,2,
AGLIDA,Instalment Regular Rolling,7.25,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
AGLIDH,Instalment High Geared Rolling,11.50,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
AGLIGF,Instalment Regular Rolling,7.50,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,Ex Price amended from $5.50 to $7.50 on 20/2/04
AGLIGJ,Instalment High Geared Rolling,9.50,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
AGLIMC,Instalment Regular Rolling,7.50,20/05/2005,1.0,American,MACQUARIE,COR,09/05/2002,10,
AGLIMD,Instalment High Geared Rolling,9.50,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
AGLIMF,Instalment Regular Rolling,7.00,18/11/2004,1.0,American,MACQUARIE,COR,07/11/2002,10,
AGLIMG,Instalment High Geared Rolling,9.00,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
AGLIOC,Instalment Regular Normal,6.00,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,
AGLIOE,Instalment High Geared,9.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
AGLIPA,Instalment High Geared,8.00,23/09/2004,1.0,American,BNP PARIBAS,COR,26/07/2001,1,
AGLISG,Rolling Reset Instalment,7.50,23/06/2005,1.0,American,UBS,COR,27/09/2002,10,The Barrier Level is $8.25
AGLISH,Rolling Reset Instalment,6.50,25/11/2004,1.0,American,UBS,COR,29/11/2002,10,The Barrier Level is $7.15
AGLISS,Instalment High Geared Rolling,10.00,25/11/2004,1.0,American,UBS,COR,18/09/2002,10,
AGLISW,Instalment High Geared,10.50,14/04/2005,1.0,American,UBS,COR,23/04/2004,10,
AGLIWG,Instalment Regular Rolling,7.25,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
AGLIWH,Instalment High Geared Rolling,10.25,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
AGLIYE,Instalment Regular Normal,8.00,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
AGLIZO,Instalment Regular Normal,6.00,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,1,
AGLIZQ,Instalment Regular Rolling,6.50,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
